Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Specimen,MorphoID,L_mm,W_g,Notes
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#012,3.64,0.006128,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#012,3.767,0.0064709,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,3,ARMSMc#012,3.754,0.0064358,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,4,ARMSMc#012,3.612,0.0060524,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,5,ARMSMc#012,3.815,0.0066005,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,6,ARMSMc#012,3.556,0.0059012,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,7,ARMSMc#012,3.375,0.0054125,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,8,ARMSMc#012,3.362,0.0053774,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,9,ARMSMc#012,3.679,0.0062333,
ARMS22M#177,2022,Coin,9,8123,Y,,Mollusca,Gastropoda,,Sea_snail,10,ARMSMc#012,3.913,0.0068651,
ARMS22M#344,2022,Court,10,8612,Y,8613,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,6.762,0.0145574,
ARMS22M#349,2022,Court,10,8621,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#012,3.899,0.0068273,
ARMS21M#151,2021,Anglaise,2,3757,Y,,Mollusca,Gastropoda,Littorinimorpha,Sea_snail,,ARMSMc#013,5.683,0.336412803,
ARMS21M#153,2021,Anglaise,2,3768,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,11.301,1.034905484,
ARMS21M#305,2021,Moresby,1,5216,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,4.154,0.193299779,
ARMS21M#323,2021,Moresby,2,5549,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,5.701,0.338217324,
ARMS21M#323,2021,Moresby,2,5549,Y,,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#013,7.243,0.503148411,
ARMS21M#332,2021,Moresby,2,5590,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,5.304,0.299064589,
ARMS21M#417,2021,Moresby,3,5989,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,5.71,0.33912063,
ARMS19M#156,2019,Anglaise,5,1691,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,12.138,1.162202889,
ARMS19M#304,2019,Moresby,8,2460,Y,,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,12.249,1.179537104,
ARMS19M#449,2019,Moresby,9,2783,Y,,Mollusca,Gastropoda,Littorinimorpha,Sea_snail,,ARMSMc#013,12.076,1.152566837,
ARMS22M#248,2022,Anglaise,2,IMG_0675,Y,IMG_0677,Mollusca,Gastropoda,,Sea_snail,,ARMSMc#013,7.727,0.559133175,preserved 2.5 years
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#013,4.19,0.19643823,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,2,ARMSMc#013,2.484,0.059961301,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,3,ARMSMc#013,2.987,0.097598427,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,4,ARMSMc#013,3.36,0.12691328,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,5,ARMSMc#013,2.827,0.085390395,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,6,ARMSMc#013,2.808,0.083955315,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,7,ARMSMc#013,3.878,0.169608601,"preserved 2.5 years, mix of morphospecies"
ARMS22M#252,2022,Anglaise,2,IMG_0622,Y,IMG_0624,Mollusca,Gastropoda,,Sea_snail,8,ARMSMc#013,3.531,0.140752532,"preserved 2.5 years, mix of morphospecies"
