Label,Year,Site,ARMS_number,DSC,Scaled,DSC_extra,Phyla,Class,Order,General_name,Abundance_in_image,MorphoID,Notes
ARMS21M#188,2021,Anglaise,3,4317,Y,4325,Arthropoda,Malacostraca,Decapoda,Hermit_crab,1,ARMSMc#011,
ARMS21M#189,2021,Anglaise,3,4331,Y,4332,Mollusca,Gastropoda,Littorinimorpha,Cowry,2,ARMSMc#156,
ARMS21M#190,2021,Anglaise,3,4340,Y,"4338, 4342",Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#174,
ARMS21M#191,2021,Anglaise,3,4354,Y,,Arthropoda,Malacostraca,Decapoda,Crab,1,ARMSMc#272,same label
ARMS21M#191,2021,Anglaise,3,4349,Y,4350,Echinodermata,Echinoidea,,Sea_urchin,1,ARMSMc#072,same label
ARMS21M#402,2021,Moresby,3,5950,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS21M#193,2021,Anglaise,3,4376,Y,4379,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#035,
ARMS21M#439,2021,Moresby,3,6038,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS19S#013,2019,Coin,1,0378,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,motile even though S
ARMS21M#196,2021,Anglaise,3,4388,Y,4385,Annelida,Polychaeta,Phyllodocida,Scaleworm,1,ARMSMc#136,
ARMS19S#014,2019,Coin,1,0380,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,motile even though S
ARMS19M#243,2019,Coin,7,2220,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS21M#199,2021,Anglaise,3,4404,Y,4406,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#057,
ARMS21M#200,2021,Anglaise,3,4399,Y,4402,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#056,
ARMS21M#201,2021,Anglaise,3,4409,Y,4413,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#056,
ARMS19M#255,2019,Coin,7,2221,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS19M#361,2019,Moresby,9,2763,Y,,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS22M#35,2022,Moresby,4,7461,Y,7464,Mollusca,Gastropoda,,Sea_snail,1,ARMSMc#019,
ARMS21M#205,2021,Anglaise,3,4455,Y,4462,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#102,
ARMS21M#206,2021,Anglaise,3,4464,Y,,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#103,
ARMS21M#207,2021,Anglaise,3,4470,Y,4471,Platyhelminthes,,,Flatworm,1,ARMSMc#176,
ARMS21M#208,2021,Anglaise,3,4483,Y,"4478, 4485",Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#085,
ARMS21M#209,2021,Anglaise,3,4488,Y,4491,Arthropoda,Malacostraca,Decapoda,Hermit_crab,1,ARMSMc#017,"same label, Hermit_crab leaving shell"
ARMS21M#209,2021,Anglaise,3,4495,Y,4497,Echinodermata,Ophiuroidea,,Brittlestar,1,ARMSMc#058,same label
ARMS21M#18,2021,Anglaise,1,2953,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,1,ARMSMc#020,
ARMS21M#211,2021,Anglaise,3,4513,Y,,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#213,use this specimen for ID
ARMS19M#173,2019,Anglaise,5,1715,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,4,ARMSMc#020,
ARMS21M#213,2021,Anglaise,3,4521,Y,4525,Mollusca,Gastropoda,Nudibranchia,Nudibranch,1,ARMSMc#086,
ARMS21M#214,2021,Anglaise,3,4527,Y,,Mollusca,Bivalvia,Pectinida,Scallop,1,ARMSMc#104,
ARMS21M#215,2021,Anglaise,3,4539,Y,,Arthropoda,Malacostraca,Decapoda,Spider_crab,1,ARMSMc#206,
ARMS19M#175,2019,Anglaise,5,1718,Y,,Arthropoda,Malacostraca,Decapoda,Shrimp,6,ARMSMc#020,
ARMS21M#217,2021,Anglaise,3,4548,Y,4552,Arthropoda,Malacostraca,Decapoda,Hermit_crab,1,ARMSMc#244,
ARMS21M#218,2021,Anglaise,3,4553,Y,4556,Arthropoda,Pycnogonida,Pantopoda,Sea_spider,1,ARMSMc#210,
